Sample   	JTAG        	CLK	TCK	TMS	TRST	TDI	TDO	HALT	 Timestamp
        0	0001001     	0  	0  	0  	1   	0  	0  	1   	      0 ps
        1	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
        2	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
        3	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
        4	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
        5	0001011     	0  	0  	0  	1   	0  	1  	1   	270.875 ns
        6	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
        7	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
        8	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
        9	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
       10	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
       11	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
       12	0011001     	0  	0  	1  	1   	0  	0  	1   	270.875 ns
       13	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.500 ns
       14	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
       15	0011001     	0  	0  	1  	1   	0  	0  	1   	270.875 ns
       16	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
       17	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
       18	0001011     	0  	0  	0  	1   	0  	1  	1   	333.375 ns
       19	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
       20	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
       21	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
       22	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.875 ns
       23	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
       24	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
       25	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
       26	0001101     	0  	0  	0  	1   	1  	0  	1   	250.000 ns
       27	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
       28	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
       29	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
       30	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.500 ns
       31	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
       32	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
       33	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
       34	0001101     	0  	0  	0  	1   	1  	0  	1   	250.000 ns
       35	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.500 ns
       36	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
       37	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
       38	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
       39	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
       40	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
       41	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
       42	0001001     	0  	0  	0  	1   	0  	0  	1   	375.125 ns
       43	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
       44	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
       45	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.500 ns
       46	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
