SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
580,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
581,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
582,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
583,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
584,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
585,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
586,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
587,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
588,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
589,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
590,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
591,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
592,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
593,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
594,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
595,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
596,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
597,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
598,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
599,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
600,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
601,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
602,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
603,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
604,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
605,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
606,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
607,1,0,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
608,1,0,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
609,0,0,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
610,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
611,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
612,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
613,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
614,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
615,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
616,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
617,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
618,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
619,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
