SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
     1528,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1529,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1530,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1531,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1532,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1533,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1534,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1535,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1536,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1537,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1538,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1539,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1540,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1541,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1542,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1543,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1544,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1545,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1546,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1547,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1548,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1549,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1550,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1551,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1552,1,0,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
     1553,1,0,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
     1554,0,0,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
     1555,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
     1556,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
     1557,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
     1558,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
     1559,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
     1560,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1561,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1562,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1563,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1564,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1565,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1566,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1567,1,0,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
     1568,1,0,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
     1569,0,0,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
     1570,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
     1571,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
     1572,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
     1573,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1574,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1575,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1576,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1577,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1578,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1579,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1580,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1581,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1582,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1583,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1584,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1585,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1586,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1587,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1588,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
