SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
0,0,0,0,0,1,ST_TEST_LOGIC_RESET,ST_RUN_TEST_IDLE
1,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
2,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
3,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
4,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
5,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
6,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
7,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
8,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
9,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
10,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
11,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
12,1,0,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
13,1,0,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
14,0,0,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
15,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
16,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
17,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
18,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
19,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
20,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
21,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
22,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
23,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
24,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
25,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
26,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
27,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
28,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
29,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
30,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
31,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
32,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
33,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
34,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
35,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
36,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
37,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
38,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
39,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
40,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
41,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
42,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
43,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
44,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
45,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
46,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
47,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
48,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
49,1,0,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
50,0,0,0,5,6,ST_EXIT1_DR,ST_PAUSE_DR
51,1,0,0,6,7,ST_PAUSE_DR,ST_EXIT2_DR
52,0,0,0,7,4,ST_EXIT2_DR,ST_SHIFT_DR
53,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
54,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
55,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
56,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
57,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
58,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
59,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
60,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
61,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
62,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
63,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
64,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
65,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
66,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
67,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
68,1,1,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
69,1,1,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
70,0,1,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
71,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
72,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
73,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
74,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
75,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
76,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
77,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
78,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
79,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
