SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
1917,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1918,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1919,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1920,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1921,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1922,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1923,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1924,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1925,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1926,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1927,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1928,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
1929,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
1930,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
1931,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
1932,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
1933,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
1934,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
1935,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
1936,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1937,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1938,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1939,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1940,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1941,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1942,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1943,1,1,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
1944,1,1,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
1945,0,1,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
1946,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
1947,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
1948,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
1949,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1950,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1951,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1952,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1953,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1954,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1955,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1956,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1957,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1958,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1959,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1960,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1961,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1962,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1963,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1964,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1965,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1966,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1967,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
