Sample   	JTAG        	CLK	TCK	TMS	TRST	TDI	TDO	HALT	 Timestamp
     1373	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1374	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1375	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1376	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1377	0001001     	0  	0  	0  	1   	0  	0  	1   	250.000 ns
     1378	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1379	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1380	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1381	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1382	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1383	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1384	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1385	0001001     	0  	0  	0  	1   	0  	0  	1   	250.000 ns
     1386	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1387	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1388	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1389	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1390	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1391	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1392	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1393	0011001     	0  	0  	1  	1   	0  	0  	1   	375.000 ns
     1394	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1395	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1396	0001001     	0  	0  	0  	1   	0  	0  	1   	<45,375 us
     1397	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1398	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1399	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1400	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1401	0001011     	0  	0  	0  	1   	0  	1  	1   	270.875 ns
     1402	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1403	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
     1404	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1405	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
