Sample   	JTAG        	CLK	TCK	TMS	TRST	TDI	TDO	HALT	 Timestamp
     1666	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1667	0001001     	0  	0  	0  	1   	0  	0  	1   	125.000 ns
     1668	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1669	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1670	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.500 ns
     1671	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1672	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1673	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1674	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1675	0011101     	0  	0  	1  	1   	1  	0  	1   	271.000 ns
     1676	0011101     	0  	0  	1  	1   	1  	0  	1   	 41.625 ns
     1677	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1678	0011001     	0  	0  	1  	1   	0  	0  	1   	270.875 ns
     1679	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1680	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1681	0001011     	0  	0  	0  	1   	0  	1  	1   	333.250 ns
     1682	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.750 ns
     1683	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1684	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1685	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1686	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1687	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1688	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
     1689	0001101     	0  	0  	0  	1   	1  	0  	1   	250.000 ns
     1690	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1691	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1692	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
     1693	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.500 ns
     1694	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1695	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1696	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1697	0001101     	0  	0  	0  	1   	1  	0  	1   	250.000 ns
     1698	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.500 ns
     1699	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1700	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1701	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1702	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1703	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1704	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1705	0001001     	0  	0  	0  	1   	0  	0  	1   	375.000 ns
     1706	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1707	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1708	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1709	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1710	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1711	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1712	0011001     	0  	0  	1  	1   	0  	0  	1   	375.000 ns
     1713	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1714	0011001     	0  	0  	1  	1   	0  	0  	1   	<28,125 us
     1715	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1716	0011001     	0  	0  	1  	1   	0  	0  	1   	270.875 ns
     1717	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1718	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1719	0001001     	0  	0  	0  	1   	0  	0  	1   	<82,750 us
     1720	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1721	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1722	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1723	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1724	0001011     	0  	0  	0  	1   	0  	1  	1   	270.875 ns
     1725	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1726	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1727	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1728	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1729	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1730	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1731	0011101     	0  	0  	1  	1   	1  	0  	1   	271.000 ns
     1732	0011101     	0  	0  	1  	1   	1  	0  	1   	 41.500 ns
     1733	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1734	0011001     	0  	0  	1  	1   	0  	0  	1   	270.875 ns
     1735	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1736	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1737	0001001     	0  	0  	0  	1   	0  	0  	1   	333.250 ns
     1738	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1739	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.750 ns
     1740	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.500 ns
     1741	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.875 ns
     1742	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.500 ns
     1743	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1744	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.875 ns
     1745	0001011     	0  	0  	0  	1   	0  	1  	1   	249.875 ns
     1746	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1747	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1748	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1749	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1750	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1751	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1752	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1753	0001011     	0  	0  	0  	1   	0  	1  	1   	250.125 ns
     1754	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.500 ns
     1755	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
